doi_prefix	publisher_label	N	n_pdf	pct_pdf	n_supp	pct_supp	n_reads	pct_reads	n_paywalled_local_attempted
10.3389	Frontiers	79	79	100.0	69	87.3	37	46.8	0
10.1016	Elsevier ScienceDirect	54	34	63.0	15	27.8	9	16.7	0
10.3390	MDPI	54	54	100.0	39	72.2	10	18.5	0
10.1186	BMC / BioMed Central	45	45	100.0	42	93.3	7	15.6	0
10.1007	Springer non-Nature	31	31	100.0	19	61.3	1	3.2	0
10.1038	Nature (any imprint)	27	27	100.0	27	100.0	11	40.7	0
10.1002	Wiley	26	24	92.3	12	46.2	2	7.7	0
10.1080	Taylor & Francis	23	20	87.0	14	60.9	4	17.4	3
10.1128	ASM (mBio, AEM)	18	18	100.0	10	55.6	15	83.3	0
10.1136	BMJ HighWire	14	11	78.6	7	50.0	0	0.0	0
10.1158	AACR	13	11	84.6	1	7.7	1	7.7	0
10.1371	PLOS	11	11	100.0	11	100.0	5	45.5	0
10.1093	Oxford Univ Press	10	8	80.0	2	20.0	0	0.0	0
10.1053	Elsevier Gastro imprint	8	5	62.5	0	0.0	1	12.5	0
10.1177	SAGE	7	4	57.1	1	14.3	1	14.3	0
10.1097	LWW	7	4	57.1	0	0.0	1	14.3	0
10.18632		7	7	100.0	4	57.1	1	14.3	0
10.1111	Wiley	5	5	100.0	3	60.0	0	0.0	0
10.1155		5	5	100.0	1	20.0	0	0.0	0
10.7150		4	4	100.0	3	75.0	0	0.0	0
10.1021	ACS	3	1	33.3	0	0.0	0	0.0	0
10.1159	Karger	3	1	33.3	0	0.0	0	0.0	0
10.1089	Mary Ann Liebert	3	1	33.3	0	0.0	0	0.0	0
10.1039	RSC	3	2	66.7	1	33.3	0	0.0	0
10.2147		3	3	100.0	0	0.0	1	33.3	0
10.1126	Science	3	1	33.3	0	0.0	3	100.0	0
10.1042		2	1	50.0	0	0.0	0	0.0	0
10.1099	Microbiology Soc	2	0	0.0	0	0.0	0	0.0	0
10.4103		2	1	50.0	0	0.0	0	0.0	0
10.7554		2	2	100.0	1	50.0	1	50.0	0
10.1001		2	2	100.0	1	50.0	0	0.0	0
10.3892		2	2	100.0	1	50.0	0	0.0	0
10.1172		2	2	100.0	1	50.0	1	50.0	0
10.3748		2	2	100.0	0	0.0	2	100.0	0
10.19723		1	0	0.0	0	0.0	0	0.0	0
(no DOI)		1	0	0.0	0	0.0	0	0.0	0
10.1373		1	0	0.0	0	0.0	0	0.0	0
10.4014		1	0	0.0	0	0.0	0	0.0	0
10.3791		1	0	0.0	0	0.0	0	0.0	0
10.12122		1	0	0.0	0	0.0	0	0.0	0
10.14712		1	1	100.0	0	0.0	0	0.0	0
10.21873		1	1	100.0	0	0.0	0	0.0	0
10.4081		1	1	100.0	0	0.0	0	0.0	0
10.1590		1	1	100.0	0	0.0	0	0.0	0
10.1101	Cold Spring Harbor	1	1	100.0	0	0.0	0	0.0	0
10.5114		1	1	100.0	0	0.0	0	0.0	0
10.5005		1	1	100.0	0	0.0	0	0.0	0
10.3164		1	1	100.0	0	0.0	0	0.0	0
10.21037		1	1	100.0	0	0.0	0	0.0	0
10.7883		1	1	100.0	0	0.0	0	0.0	0
10.3904		1	1	100.0	0	0.0	0	0.0	0
10.3969		1	0	0.0	0	0.0	1	100.0	0
10.4149		1	1	100.0	0	0.0	0	0.0	0
10.26442		1	1	100.0	0	0.0	0	0.0	0
10.5152		1	1	100.0	0	0.0	0	0.0	0
10.4251		1	1	100.0	0	0.0	0	0.0	0
10.4291		1	1	100.0	0	0.0	0	0.0	0
10.14336		1	1	100.0	1	100.0	0	0.0	0
10.14309		1	1	100.0	1	100.0	0	0.0	0
10.15430		1	1	100.0	1	100.0	0	0.0	0
10.7717		1	1	100.0	1	100.0	0	0.0	0
10.18332		1	1	100.0	1	100.0	0	0.0	0
